AVG_RANK,AUCTION,NAME,TEAM,BYE,PPR_RANK,STD_RANK,PPR_POSRANK,STD_POSRANK,PPR_AUCTION,STD_AUCTION
228.0 , 0.0 , JERMAINE KEARSE , SEA , 4 , 223 , 233 , WR84 , WR81 , 0 , 0
230.0 , 0.0 , JONATHAN GRIMES , HOU , 10 , 262 , 198 , RB74 , RB72 , 0 , 0
233.5 , 0.0 , JARED COOK , STL , 4 , 188 , 279 , TE22 , TE25 , 0 , 0
233.5 , 0.0 , RONNIE HILLMAN , DEN , 4 , 253 , 214 , RB71 , RB80 , 0 , 0
235.5 , 0.0 , AUSTIN SEFERIAN-JENKINS , TB , 7 , 203 , 268 , TE25 , TE23 , 0 , 0
237.5 , 0.0 , MARLON BROWN , BAL , 11 , 234 , 241 , WR87 , WR83 , 0 , 0
238.0 , 0.0 , STEPFAN TAYLOR , ARI , 4 , 269 , 207 , RB76 , RB75 , 0 , 0
239.0 , 0.0 , EDDIE ROYAL , SD , 10 , 226 , 252 , WR85 , WR85 , 0 , 0
239.5 , 0.0 , GENO SMITH , NYJ , 11 , 236 , 243 , QB26 , QB26 , 0 , 0
240.5 , 0.0 , BOBBY RAINEY , TB , 7 , 277 , 204 , RB79 , RB74 , 0 , 0
241.0 , 0.0 , GARRETT GRAHAM , HOU , 10 , 197 , 285 , TE24 , TE26 , 0 , 0
241.0 , 0.0 , JERICK MCKINNON , MIN , 10 , 273 , 209 , RB77 , RB77 , 0 , 0
241.5 , 0.0 , JACE AMARO , NYJ , 11 , 214 , 269 , TE27 , TE24 , 0 , 0
243.0 , 0.0 , CHRIS GIVENS , STL , 4 , 221 , 265 , WR83 , WR90 , 0 , 0
243.5 , 0.0 , JAMES WHITE , NE , 10 , 276 , 211 , RB78 , RB79 , 0 , 0
244.5 , 0.0 , MILES AUSTIN , CLE , 4 , 232 , 257 , WR86 , WR87 , 0 , 0
246.0 , 0.0 , BENNY CUNNINGHAM , STL , 4 , 282 , 210 , RB80 , RB78 , 0 , 0
249.0 , 0.0 , JAKE LOCKER , TEN , 9 , 248 , 250 , QB27 , QB27 , 0 , 0
252.0 , 0.0 , JARVIS LANDRY , MIA , 5 , 244 , 260 , WR89 , WR89 , 0 , 0
254.5 , 0.0 , TED GINN , ARI , 4 , 254 , 255 , WR91 , WR86 , 0 , 0
255.5 , 0.0 , BALTIMORE RAVENSD/ST ,  , 11 , 211 , 300 , DEF14 , DEF14 , 0 , 0
256.5 , 0.0 , MATT BRYANT , ATL , 9 , 237 , 276 , K13 , K13 , 0 , 0
