RANK,PLAYER,TEAM,BYE,POSRANK,AUCTION
272,BRANDON PETTIGREW,DET,9,TE35,0
273,JERICK MCKINNON,MIN,10,RB77,0
274,ALLEN ROBINSON,JAC,11,WR97,0
275,JOHN BROWN,ARI,4,WR98,0
276,JAMES WHITE,NE,10,RB78,0
277,BOBBY RAINEY,TB,7,RB79,0
278,MARTAVIS BRYANT,PIT,12,WR99,0
279,C.J. FIEDOROWICZ,HOU,10,TE36,0
280,MATT SCHAUB,OAK,5,QB29,0
281,INDIANAPOLIS COLTSD/ST,,10,DEF20,0
282,BENNY CUNNINGHAM,STL,4,RB80,0
283,ACE SANDERS,JAC,11,WR100,0
284,BRENT CELEK,PHI,7,TE37,0
285,BILAL POWELL,NYJ,11,RB81,0
286,VINCENT BROWN,SD,10,WR101,0
287,RYAN SUCCOP,KC,6,K19,0
288,DE'ANTHONY THOMAS,KC,6,RB82,0
289,CODY LATIMER,DEN,4,WR102,0
290,ANDRE CALDWELL,DEN,4,WR103,0
291,GREG ZUERLEIN,STL,4,K20,0
292,BRANDON BOSTICK,GB,9,TE38,0
293,RONNIE BROWN,HOU,10,RB83,0
294,RYAN BROYLES,DET,9,WR104,0
295,JOSEPH RANDLE,DAL,11,RB84,0
296,JOHN CARLSON,ARI,4,TE39,0
297,A.J. JENKINS,KC,6,WR105,0
298,KA'DEEM CAREY,CHI,9,RB85,0
299,MATT ASIATA,MIN,10,RB86,0
300,JACOBY JONES,BAL,11,WR106,0 
